dispatcher,reopt,original_load
0.00,0,223.57
0.00,0,223.57
0.00,0,223.57
0.00,0,223.57
0.00,0,223.57
0.00,0,223.57
0.00,0,272.46
265.15,265.147,339.92
370.72,370.72,370.72
346.28,346.28,346.28
346.28,346.28,346.28
321.83,321.83,321.83
297.39,297.39,297.39
272.94,272.94,272.94
311.32,311.32,311.32
312.07,312.07,312.07
312.07,312.07,312.07
312.45,312.45,312.45
324.30,324.3,324.3
386.51,386.51,386.51
465.96,465.96,465.96
537.96,537.958,578.06
1039.38,1040.49,1275.61
1004.55,1004.55,1238.89
603.00,603.004,1189.91
294.15,294.153,1268.5
24.54,24.5363,1260.38
603.00,603.765,1337.71
436.18,436.297,1343.39
760.14,760.25,1348.2
1040.49,1040.49,1397.43
1040.49,1040.49,1250.97
1037.69,1037.69,1037.69
988.96,988.96,988.96
757.30,757.3,757.3
700.49,697.96,697.96
384.61,384.61,384.61
325.32,322.79,322.79
310.56,310.56,310.56
318.15,310.56,310.56
318.15,310.56,310.56
318.15,310.56,310.56
325.32,322.79,322.79
412.43,384.61,384.61
468.27,465.74,465.74
453.09,445.501,577.92
726.70,726.696,1299.19
328.05,328.049,1340.2
63.35,63.3498,1336.58
0.79,0,1356.29
1.98,0,1322.33
1.45,0,1381.03
114.09,114.087,1373.95
413.33,413.714,1358.82
891.46,892.288,1398.99
1040.49,1040.49,1252.21
1029.89,1029.89,1029.89
994.83,994.83,994.83
751.53,751.53,751.53
645.30,640.24,640.24
412.43,384.61,384.61
325.32,322.79,322.79
318.15,310.56,310.56
318.15,310.56,310.56
318.15,310.56,310.56
318.15,310.56,310.56
325.32,322.79,322.79
412.43,384.61,384.61
475.76,468.17,468.17
425.05,422.526,588.99
739.47,739.465,1287.94
339.87,339.87,1313.59
76.61,76.612,1322.69
1.36,0,1344.19
0.96,0,1306.85
10.32,10.3174,1373.15
221.08,221.077,1387.16
533.04,533.038,1405.46
956.36,956.998,1452.63
1040.49,1040.49,1273.54
1040.49,1040.49,1048.95
1018.88,1018.88,1018.88
815.11,815.11,815.11
779.58,779.58,779.58
384.61,384.61,384.61
322.79,322.79,322.79
310.56,310.56,310.56
318.15,310.56,310.56
318.15,310.56,310.56
351.02,310.56,310.56
